DATE,PCPI06019
1969-01-01,3675
1970-01-01,3983
1971-01-01,4237
1972-01-01,4713
1973-01-01,5311
1974-01-01,6082
1975-01-01,6371
1976-01-01,7100
1977-01-01,7399
1978-01-01,8110
1979-01-01,9456
1980-01-01,10682
1981-01-01,10946
1982-01-01,11243
1983-01-01,11532
1984-01-01,12393
1985-01-01,13037
1986-01-01,13700
1987-01-01,14605
1988-01-01,15213
1989-01-01,15921
1990-01-01,16775
1991-01-01,17069
1992-01-01,17693
1993-01-01,18302
1994-01-01,18408
1995-01-01,18909
1996-01-01,19454
1997-01-01,19723
1998-01-01,20693
1999-01-01,21496
2000-01-01,22788
2001-01-01,23403
2002-01-01,24596
2003-01-01,26002
2004-01-01,27414
2005-01-01,28165
2006-01-01,29629
2007-01-01,30654
2008-01-01,31249
2009-01-01,30823
2010-01-01,31607
2011-01-01,33327
2012-01-01,34264
2013-01-01,34820
2014-01-01,36909
2015-01-01,39124
2016-01-01,40101
