DATE,ATNHPIUS06029A
1975-01-01,33.46
1976-01-01,40.26
1977-01-01,46.87
1978-01-01,54.08
1979-01-01,60.69
1980-01-01,65.67
1981-01-01,71.38
1982-01-01,75.38
1983-01-01,76.50
1984-01-01,77.84
1985-01-01,79.90
1986-01-01,82.12
1987-01-01,81.32
1988-01-01,82.29
1989-01-01,85.79
1990-01-01,92.36
1991-01-01,97.57
1992-01-01,100.50
1993-01-01,99.57
1994-01-01,96.81
1995-01-01,93.43
1996-01-01,92.95
1997-01-01,92.23
1998-01-01,96.18
1999-01-01,96.77
2000-01-01,100.00
2001-01-01,107.23
2002-01-01,116.85
2003-01-01,129.68
2004-01-01,162.39
2005-01-01,214.88
2006-01-01,247.19
2007-01-01,235.92
2008-01-01,181.69
2009-01-01,141.41
2010-01-01,131.95
2011-01-01,121.91
2012-01-01,125.28
2013-01-01,142.05
2014-01-01,161.67
2015-01-01,169.02
2016-01-01,174.43
