DATE,PI06019
1969-01-01,1500506
1970-01-01,1652657
1971-01-01,1799513
1972-01-01,2035429
1973-01-01,2336200
1974-01-01,2736168
1975-01-01,2957347
1976-01-01,3387959
1977-01-01,3618410
1978-01-01,4035414
1979-01-01,4787737
1980-01-01,5529740
1981-01-01,5789241
1982-01-01,6087889
1983-01-01,6410514
1984-01-01,7089714
1985-01-01,7614794
1986-01-01,8132396
1987-01-01,8891993
1988-01-01,9548499
1989-01-01,10360717
1990-01-01,11277596
1991-01-01,11804630
1992-01-01,12566945
1993-01-01,13303020
1994-01-01,13619111
1995-01-01,14173048
1996-01-01,14812681
1997-01-01,15214370
1998-01-01,16112084
1999-01-01,16968955
2000-01-01,18259481
2001-01-01,19027073
2002-01-01,20408455
2003-01-01,22028497
2004-01-01,23604241
2005-01-01,24573043
2006-01-01,26187819
2007-01-01,27464050
2008-01-01,28424636
2009-01-01,28403105
2010-01-01,29471941
2011-01-01,31343736
2012-01-01,32443083
2013-01-01,33209542
2014-01-01,35548590
2015-01-01,38033925
2016-01-01,39295335
