DATE,CAKERN0POP
1970-01-01,330.234
1971-01-01,336.200
1972-01-01,336.800
1973-01-01,343.000
1974-01-01,344.800
1975-01-01,356.900
1976-01-01,366.900
1977-01-01,372.200
1978-01-01,378.000
1979-01-01,393.200
1980-01-01,403.089
1981-01-01,418.877
1982-01-01,433.698
1983-01-01,446.961
1984-01-01,459.411
1985-01-01,474.243
1986-01-01,486.217
1987-01-01,497.910
1988-01-01,510.980
1989-01-01,527.922
1990-01-01,549.535
1991-01-01,569.346
1992-01-01,589.897
1993-01-01,599.843
1994-01-01,614.707
1995-01-01,620.201
1996-01-01,626.719
1997-01-01,634.695
1998-01-01,643.016
1999-01-01,655.428
2000-01-01,663.487
2001-01-01,673.945
2002-01-01,688.991
2003-01-01,706.516
2004-01-01,725.473
2005-01-01,746.718
2006-01-01,767.392
2007-01-01,783.566
2008-01-01,795.921
2009-01-01,804.989
2010-01-01,841.676
2011-01-01,849.484
2012-01-01,855.808
2013-01-01,864.454
2014-01-01,872.138
2015-01-01,879.497
2016-01-01,884.788
