DATE,ATNHPIUS06019A
1975-01-01,29.39
1976-01-01,33.96
1977-01-01,40.95
1978-01-01,49.87
1979-01-01,57.92
1980-01-01,63.37
1981-01-01,68.04
1982-01-01,70.15
1983-01-01,66.27
1984-01-01,66.82
1985-01-01,67.53
1986-01-01,69.41
1987-01-01,71.09
1988-01-01,72.28
1989-01-01,76.62
1990-01-01,83.65
1991-01-01,91.51
1992-01-01,94.56
1993-01-01,94.44
1994-01-01,92.68
1995-01-01,91.51
1996-01-01,91.42
1997-01-01,91.29
1998-01-01,93.91
1999-01-01,95.34
2000-01-01,100.00
2001-01-01,108.61
2002-01-01,122.83
2003-01-01,139.62
2004-01-01,173.20
2005-01-01,217.44
2006-01-01,243.37
2007-01-01,230.26
2008-01-01,184.63
2009-01-01,147.82
2010-01-01,140.72
2011-01-01,127.95
2012-01-01,126.96
2013-01-01,139.01
2014-01-01,156.53
2015-01-01,164.74
2016-01-01,173.94
