DATE,CAKERN0LFN
1990-01-01,246741
1990-02-01,249281
1990-03-01,250906
1990-04-01,254740
1990-05-01,258087
1990-06-01,261099
1990-07-01,270657
1990-08-01,260365
1990-09-01,257797
1990-10-01,258005
1990-11-01,256808
1990-12-01,257360
1991-01-01,260401
1991-02-01,260070
1991-03-01,262002
1991-04-01,262768
1991-05-01,261963
1991-06-01,265328
1991-07-01,266809
1991-08-01,268339
1991-09-01,268657
1991-10-01,265331
1991-11-01,266948
1991-12-01,266407
1992-01-01,266247
1992-02-01,266732
1992-03-01,269199
1992-04-01,268695
1992-05-01,271250
1992-06-01,278144
1992-07-01,280336
1992-08-01,278843
1992-09-01,279553
1992-10-01,274032
1992-11-01,272481
1992-12-01,269416
1993-01-01,266737
1993-02-01,268575
1993-03-01,268848
1993-04-01,269399
1993-05-01,274706
1993-06-01,279650
1993-07-01,277878
1993-08-01,278269
1993-09-01,275877
1993-10-01,273098
1993-11-01,275007
1993-12-01,272463
1994-01-01,266974
1994-02-01,266672
1994-03-01,265313
1994-04-01,262463
1994-05-01,264993
1994-06-01,270497
1994-07-01,268251
1994-08-01,266125
1994-09-01,265039
1994-10-01,265057
1994-11-01,264405
1994-12-01,259537
1995-01-01,267386
1995-02-01,265417
1995-03-01,264464
1995-04-01,269869
1995-05-01,267110
1995-06-01,273815
1995-07-01,283281
1995-08-01,277860
1995-09-01,276405
1995-10-01,268601
1995-11-01,267988
1995-12-01,266637
1996-01-01,267415
1996-02-01,267768
1996-03-01,268865
1996-04-01,273060
1996-05-01,274588
1996-06-01,279833
1996-07-01,289817
1996-08-01,284093
1996-09-01,283685
1996-10-01,278089
1996-11-01,280486
1996-12-01,280283
1997-01-01,273898
1997-02-01,273517
1997-03-01,276126
1997-04-01,274804
1997-05-01,278422
1997-06-01,282351
1997-07-01,283987
1997-08-01,278379
1997-09-01,281001
1997-10-01,278405
1997-11-01,278220
1997-12-01,277738
1998-01-01,276364
1998-02-01,274481
1998-03-01,276404
1998-04-01,273965
1998-05-01,274011
1998-06-01,281337
1998-07-01,286448
1998-08-01,282699
1998-09-01,281523
1998-10-01,278145
1998-11-01,277909
1998-12-01,278903
1999-01-01,275476
1999-02-01,275038
1999-03-01,274791
1999-04-01,275443
1999-05-01,274936
1999-06-01,282767
1999-07-01,283248
1999-08-01,282795
1999-09-01,281331
1999-10-01,278533
1999-11-01,278769
