DATE,CAKERN0LFN
1999-12-01,280034
2000-01-01,287979
2000-02-01,288558
2000-03-01,287740
2000-04-01,291666
2000-05-01,291505
2000-06-01,295114
2000-07-01,301345
2000-08-01,299253
2000-09-01,298154
2000-10-01,296281
2000-11-01,293760
2000-12-01,295678
2001-01-01,293286
2001-02-01,291068
2001-03-01,291047
2001-04-01,292861
2001-05-01,293363
2001-06-01,300115
2001-07-01,303069
2001-08-01,304688
2001-09-01,306520
2001-10-01,299780
2001-11-01,298153
2001-12-01,298579
2002-01-01,298845
2002-02-01,297826
2002-03-01,297665
2002-04-01,302463
2002-05-01,304758
2002-06-01,311057
2002-07-01,310601
2002-08-01,311283
2002-09-01,309952
2002-10-01,306338
2002-11-01,305814
2002-12-01,307403
2003-01-01,306989
2003-02-01,304871
2003-03-01,304397
2003-04-01,308133
2003-05-01,310216
2003-06-01,318525
2003-07-01,318742
2003-08-01,317898
2003-09-01,313176
2003-10-01,312239
2003-11-01,312084
2003-12-01,308858
2004-01-01,311336
2004-02-01,309466
2004-03-01,308014
2004-04-01,312090
2004-05-01,315844
2004-06-01,316839
2004-07-01,321596
2004-08-01,318078
2004-09-01,315369
2004-10-01,315809
2004-11-01,314372
2004-12-01,314541
2005-01-01,315538
2005-02-01,315685
2005-03-01,313187
2005-04-01,319393
2005-05-01,323702
2005-06-01,329089
2005-07-01,335252
2005-08-01,336108
2005-09-01,335463
2005-10-01,333400
2005-11-01,331904
2005-12-01,332264
2006-01-01,327115
2006-02-01,328708
2006-03-01,325552
2006-04-01,325772
2006-05-01,332509
2006-06-01,336846
2006-07-01,339732
2006-08-01,343904
2006-09-01,342668
2006-10-01,343310
2006-11-01,341775
2006-12-01,345216
2007-01-01,340174
2007-02-01,337963
2007-03-01,334258
2007-04-01,340950
2007-05-01,344387
2007-06-01,345902
2007-07-01,348196
2007-08-01,348413
2007-09-01,350013
2007-10-01,349847
2007-11-01,348691
2007-12-01,353457
2008-01-01,348929
2008-02-01,346774
2008-03-01,344736
2008-04-01,349873
2008-05-01,360390
2008-06-01,360823
2008-07-01,364437
2008-08-01,364965
2008-09-01,366089
2008-10-01,367316
2008-11-01,368491
2008-12-01,366864
2009-01-01,363380
2009-02-01,360369
2009-03-01,356809
2009-04-01,358938
2009-05-01,366032
2009-06-01,368638
2009-07-01,365061
2009-08-01,366219
2009-09-01,366181
2009-10-01,363104
2009-11-01,358999
2009-12-01,358844
2010-01-01,366310
2010-02-01,365722
2010-03-01,365358
2010-04-01,369371
2010-05-01,371404
2010-06-01,375149
2010-07-01,370369
2010-08-01,375988
2010-09-01,375267
2010-10-01,374684
2010-11-01,374487
2010-12-01,374078
2011-01-01,377052
2011-02-01,374532
2011-03-01,371696
2011-04-01,374255
2011-05-01,380167
2011-06-01,383100
2011-07-01,382610
2011-08-01,391231
2011-09-01,388861
2011-10-01,388226
2011-11-01,388011
2011-12-01,388651
2012-01-01,387672
2012-02-01,387797
2012-03-01,381632
2012-04-01,378667
2012-05-01,390589
2012-06-01,394974
2012-07-01,397894
2012-08-01,399090
2012-09-01,399533
2012-10-01,398881
2012-11-01,395233
2012-12-01,390699
2013-01-01,394850
2013-02-01,391015
2013-03-01,384018
2013-04-01,388265
2013-05-01,394324
2013-06-01,396026
2013-07-01,398872
2013-08-01,399279
2013-09-01,398454
2013-10-01,396182
2013-11-01,391812
2013-12-01,387719
2014-01-01,391414
2014-02-01,390971
2014-03-01,386542
2014-04-01,389346
2014-05-01,396910
2014-06-01,393126
2014-07-01,397030
2014-08-01,399559
2014-09-01,397198
2014-10-01,397841
2014-11-01,392959
2014-12-01,386453
2015-01-01,394546
2015-02-01,393872
2015-03-01,385341
2015-04-01,390061
2015-05-01,395652
2015-06-01,390742
2015-07-01,392215
2015-08-01,394541
2015-09-01,390914
2015-10-01,391102
2015-11-01,386402
2015-12-01,383808
2016-01-01,391701
2016-02-01,391149
2016-03-01,384701
2016-04-01,389571
2016-05-01,389972
2016-06-01,391299
2016-07-01,391073
2016-08-01,390645
2016-09-01,390532
2016-10-01,390389
2016-11-01,385809
2016-12-01,382246
2017-01-01,388490
2017-02-01,385964
2017-03-01,378345
2017-04-01,382308
2017-05-01,382162
2017-06-01,383853
2017-07-01,388044
2017-08-01,391008
2017-09-01,391914
2017-10-01,389333
