DATE,PCPI06029
1969-01-01,3911
1970-01-01,4100
1971-01-01,4355
1972-01-01,4727
1973-01-01,5292
1974-01-01,6241
1975-01-01,6550
1976-01-01,7509
1977-01-01,7823
1978-01-01,8493
1979-01-01,9725
1980-01-01,11043
1981-01-01,11470
1982-01-01,12048
1983-01-01,12177
1984-01-01,13070
1985-01-01,13584
1986-01-01,14147
1987-01-01,14339
1988-01-01,15314
1989-01-01,15806
1990-01-01,16486
1991-01-01,16964
1992-01-01,17193
1993-01-01,17715
1994-01-01,17681
1995-01-01,18168
1996-01-01,18960
1997-01-01,19252
1998-01-01,20148
1999-01-01,20275
2000-01-01,21197
2001-01-01,22310
2002-01-01,23262
2003-01-01,24118
2004-01-01,25377
2005-01-01,26478
2006-01-01,27713
2007-01-01,29116
2008-01-01,29745
2009-01-01,29054
2010-01-01,30705
2011-01-01,32517
2012-01-01,34447
2013-01-01,35093
2014-01-01,37090
2015-01-01,37846
2016-01-01,37714
